,processed_variants,f_measure,fitness,precision,no_model_change,variant
44,44,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection'), <InfixType.NOT_AN_INFIX: 4>)"
45,45,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender'), <InfixType.PREFIX: 2>)"
46,46,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender'), <InfixType.PROPER_INFIX: 1>)"
47,47,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Appeal to Judge', 'Add penalty'), <InfixType.PREFIX: 2>)"
48,48,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection'), <InfixType.NOT_AN_INFIX: 4>)"
49,49,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Payment', 'Send Fine', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
50,50,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Fine Notification', 'Appeal to Judge', 'Add penalty', 'Payment'), <InfixType.POSTFIX: 3>)"
51,51,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Payment', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
52,52,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender'), <InfixType.PREFIX: 2>)"
53,53,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Payment', 'Send Fine', 'Insert Fine Notification', 'Add penalty'), <InfixType.PROPER_INFIX: 1>)"
54,54,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Fine Notification', 'Appeal to Judge', 'Add penalty'), <InfixType.PROPER_INFIX: 1>)"
55,55,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
56,56,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Appeal to Judge'), <InfixType.NOT_AN_INFIX: 4>)"
57,57,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture'), <InfixType.POSTFIX: 3>)"
58,58,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
59,59,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Appeal to Judge'), <InfixType.NOT_AN_INFIX: 4>)"
60,60,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender'), <InfixType.PREFIX: 2>)"
61,61,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Payment', 'Insert Fine Notification', 'Add penalty', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
62,62,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Payment', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection'), <InfixType.NOT_AN_INFIX: 4>)"
63,63,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment'), <InfixType.POSTFIX: 3>)"
64,64,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Appeal to Judge'), <InfixType.NOT_AN_INFIX: 4>)"
65,65,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Payment', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment'), <InfixType.POSTFIX: 3>)"
66,66,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment'), <InfixType.POSTFIX: 3>)"
67,67,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Fine Notification', 'Appeal to Judge', 'Add penalty', 'Send for Credit Collection'), <InfixType.POSTFIX: 3>)"
68,68,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection'), <InfixType.NOT_AN_INFIX: 4>)"
69,69,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Date Appeal to Prefecture'), <InfixType.PROPER_INFIX: 1>)"
70,70,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Payment', 'Send Fine', 'Insert Fine Notification', 'Add penalty'), <InfixType.PREFIX: 2>)"
71,71,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Payment', 'Add penalty', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
72,72,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender'), <InfixType.PROPER_INFIX: 1>)"
73,73,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Payment', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
74,74,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture'), <InfixType.PREFIX: 2>)"
75,75,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture'), <InfixType.NOT_AN_INFIX: 4>)"
76,76,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Appeal to Judge'), <InfixType.NOT_AN_INFIX: 4>)"
77,77,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment'), <InfixType.POSTFIX: 3>)"
78,78,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Payment', 'Insert Fine Notification', 'Add penalty'), <InfixType.PROPER_INFIX: 1>)"
79,79,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Payment', 'Insert Fine Notification', 'Add penalty'), <InfixType.PREFIX: 2>)"
80,80,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Appeal to Judge', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
81,81,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
